"area_name","group_series_name","sum"
Hong Kong,Sword Oratoria,8928
Hong Kong,Sword Oratoria S2,31608
Hong Kong,Swordsman,23033
Hong Kong,TOPICREM,152
Hong Kong,TR: Rascal Does Not Dream of Bunny Girl Senpai,45
Hong Kong,Teacher Oh Soon Nam,4990
Hong Kong,Teaser: Creaking Heroes,7
Hong Kong,Temperature of Love,47483
Hong Kong,Temperature of Love (Cantonese),12780
Hong Kong,Tempted,24603
Hong Kong,Terius Behind Me,320059
Hong Kong,That Time I Got Reincarnated as a Slime,301159
Hong Kong,The 100 Nomad,886
Hong Kong,The Asterisk War(Season 2),1737
Hong Kong,The Battle of Stars,14992
Hong Kong,The Beauty Inside,188409
Hong Kong,The Bride of Habaek,37980
Hong Kong,The Bride of Habaek (Cantonese),12457
Hong Kong,The Bridge (Viu Original),16539
Hong Kong,The Case Files of Lord El-Melloi II,1577
Hong Kong,The Crowned Clown,278644
Hong Kong,The Crowned Clown Special,2704
Hong Kong,The Emperor: Owner of the Mask,21752
Hong Kong,The Evolution of Our Love,39728
Hong Kong,The Ex-man,29838
Hong Kong,The Flower in Prison,5012
Hong Kong,The Ghost Detective,34291
Hong Kong,The Good Thieves,3919
Hong Kong,The Guardian,2893
Hong Kong,The Habitation,3611
Hong Kong,The Heaven Sword and Dragon Saber,6436
Hong Kong,The Idle Mermaid,3232
Hong Kong,The Lady in Dignity,19033
Hong Kong,The Liar & His Lover,8813
Hong Kong,The Liar and His Lover (Cantonese),18229
Hong Kong,The Light in Your Eyes,16818
Hong Kong,The Light in Your Eyes (HK),390338
Hong Kong,The Man From Future,4545
Hong Kong,The Memory,3453
Hong Kong,The Merchant Gaekju (2015),2701
Hong Kong,The Morality,268
Hong Kong,The Morose Mononokea,11985
Hong Kong,The Morose Mononokean S2,45963
Hong Kong,The Price of Smiles (HK),21266
Hong Kong,The Prime Minister's Chef,5560
Hong Kong,The Public Enemy,2319
Hong Kong,The Publicist (Viu Originals),1272
Hong Kong,The Rap of China 2019,14704
Hong Kong,The Rebel,1132
Hong Kong,The Rebel Prelude,25
Hong Kong,The Return of the Condor Heroes,13702
Hong Kong,The Royal Gambler,10525
Hong Kong,The Scarlet Night,12661
Hong Kong,The Secret Life of My Secretary,617644
Hong Kong,The Starry Night The Starry Sea Season 2,25087
Hong Kong,The Starry Night The Starry Sea Season1,27942
Hong Kong,The Supporting Actors,990
Hong Kong,The Third Charm,40877
Hong Kong,The Three Musketeers S1,1604
Hong Kong,The Time of Peanut,232086
Hong Kong,The Virtuous Queen of Han,39756
Hong Kong,The War of Beauties,15707
Hong Kong,The Wind Blows,144351
Hong Kong,The amazing Magicians,981
Hong Kong,Theatre of Vengeance,14280
Hong Kong,Thirty but Seventeen,86200
Hong Kong,Thirty something,3426
Hong Kong,Three Colors of Fantasies,539
Hong Kong,Time,17621
Hong Kong,To my beloved,3996
Hong Kong,Tokyo Bachelors,34458
Hong Kong,Tokyo Sentimental,1180
Hong Kong,Tokyo Sentimental SP,461
Hong Kong,Tokyo Sentimental Special (Cantonese),166
Hong Kong,Toriko,23273
Hong Kong,Trailer : Shuttle Love Millennium,107
Hong Kong,Trailer ：100 Days My Prince,248
Hong Kong,Trailer ：Border redemption,40
Hong Kong,"Trailer ：Have you ever fallen in Love, Miss Jiang",12
Hong Kong,Trailer ：Ms. Hammurabi,128
Hong Kong,Trailer ：The Public Enemy,20
Hong Kong,Trailer ：the ghost detective,42
Hong Kong,Trailer:  No Sleep No FOMO (HK),4022
Hong Kong,Trailer:  No Sleep No FOMO (HKEN),316
Hong Kong,Trailer: 12 Years Promise,67
Hong Kong,Trailer: 20-30 Dictionary,84
Hong Kong,Trailer: 3 Colored Fantasy,91
Hong Kong,Trailer: A Place Further Than The Universe,17
Hong Kong,Trailer: A Poem A Day,49
Hong Kong,Trailer: A-TEEN,90
Hong Kong,Trailer: ARGON (HK),58
Hong Kong,Trailer: About Time,643
Hong Kong,Trailer: Abyss (HK),5457
Hong Kong,Trailer: Ada’s Luxe Viu in Seoul,4
Hong Kong,Trailer: All For One,352
Hong Kong,Trailer: Ancient Magus Bride,11
Hong Kong,Trailer: Ancient Magus Bride OVA,83
Hong Kong,Trailer: Andante,27
Hong Kong,Trailer: Angel's Last Mission - Love,35
Hong Kong,Trailer: Angel's Last Mission-Love (HK),3985
Hong Kong,Trailer: Angel's Last Mission-Love (PH),15
Hong Kong,Trailer: Another Miss Oh,168
Hong Kong,Trailer: At Eighteen (HK),2055
Hong Kong,Trailer: At Eighteen (PH),30
Hong Kong,Trailer: Bad Papa,93
Hong Kong,Trailer: Bad Papa (PH),10
Hong Kong,Trailer: Baek Hee Has Returned,19
Hong Kong,Trailer: Be Melodramatic (HK),700
Hong Kong,Trailer: Beating Again,60
Hong Kong,Trailer: Beautiful World (HK),584
Hong Kong,Trailer: Beauty Inside,447
Hong Kong,Trailer: Beauty Inside (PH),16
Hong Kong,Trailer: Because This is My First Life (PH),16
Hong Kong,Trailer: Because this is my first life,406
Hong Kong,Trailer: Berserk SR2,5
Hong Kong,Trailer: Black Knight (PH),27
Hong Kong,Trailer: Black Knight - The Man Who Guards Me,216
Hong Kong,Trailer: Black Leather Book,39
Hong Kong,Trailer: Blade of Demon Destruction,734
Hong Kong,Trailer: Border the urge,28
Hong Kong,Trailer: Boy Hood,61
Hong Kong,"Trailer: Bring it on, Ghost (HK)",347
Hong Kong,Trailer: Bungo Stray Dogs 2,17
Hong Kong,Trailer: CRISIS - Special Security Squad,109
Hong Kong,Trailer: Can we get married,155
Hong Kong,Trailer: Cecile’s Plot,15
Hong Kong,Trailer: Cheese in the Trap,1
Hong Kong,Trailer: Children of 20th Century,85
Hong Kong,Trailer: Children of Nobody (HK),224
Hong Kong,Trailer: Circle,400
Hong Kong,Trailer: Clean with Passion for Now (HK),1756
Hong Kong,Trailer: Clean with Passion for Now (PH),91
Hong Kong,Trailer: Colorful World,30
Hong Kong,Trailer: Come Back Alive,7
Hong Kong,Trailer: Come and Hug Me,112
Hong Kong,Trailer: Comes Morning,10
Hong Kong,Trailer: Confidence Man JP,248
Hong Kong,Trailer: Crime Syndrome,9
Hong Kong,Trailer: Criminal Minds : Korea (HK),212
Hong Kong,Trailer: Cross (HK),63
Hong Kong,Trailer: DARLING in the FRANXX,51
Hong Kong,Trailer: DELE,36
Hong Kong,Trailer: Daughter of Lupin,427
Hong Kong,Trailer: Dead Time Stories 2,18
Hong Kong,Trailer: Death Note,18
Hong Kong,Trailer: Deep Rooted Tree,17
Hong Kong,Trailer: Delicious Destiny,32
Hong Kong,Trailer: Descendant of Sun,1116
Hong Kong,Trailer: Descendants of the Sun (PH),63
Hong Kong,Trailer: Devil Angel,73
Hong Kong,Trailer: Digimon Adventure tri.,100
Hong Kong,Trailer: Doctor John (HK),3360
Hong Kong,Trailer: Doctor John (PH),2
Hong Kong,Trailer: Doctors,133
Hong Kong,Trailer: Doctors (PH),56
Hong Kong,Trailer: Dr. Prisoner,5394
Hong Kong,Trailer: Drinking Solo,51
Hong Kong,Trailer: Dunia,63
Hong Kong,Trailer: Encounter (HK),29461
Hong Kong,Trailer: Encounter (PH),267
Hong Kong,Trailer: Everyone's Getting Married,1
Hong Kong,Trailer: Falsify (HK),98
Hong Kong,Trailer: Fantastic,55
Hong Kong,Trailer: Fashion King,23
Hong Kong,Trailer: Feel Good to Die,108
Hong Kong,Trailer: Feel Good to Die (PH),7
Hong Kong,Trailer: Food Wars!  - The Third Plate,135
Hong Kong,Trailer: Food Wars! The Second Plate,72
Hong Kong,Trailer: For you,33
Hong Kong,Trailer: Forever Enemies,56
Hong Kong,Trailer: Fox Bride Star,488
Hong Kong,Trailer: Fox Bride Star (PH),60
Hong Kong,Trailer: Fruits Delivery Service,204
Hong Kong,Trailer: Fullmetal Alchemist Brotherhood,66
Hong Kong,Trailer: Game of Hunting,127
Hong Kong,Trailer: Gang Of Ghosts,39
Hong Kong,Trailer: Giver,13
Hong Kong,Trailer: Goblin,1993
